"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-01","0.00","58","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-02","0.13","53","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-03","0.14","52","41"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-04","0.01","50","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-05","0.10","58","46"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-06","0.02","52","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-07","0.06","58","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-08","0.01","58","35"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-09","0.00","56","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-10","0.00","58","46"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-11","0.06","56","51"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-12","0.08","54","41"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-13","0.98","54","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-14","0.61","50","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-15","0.09","50","41"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-16","0.01","55","43"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-17","0.03","55","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-18","0.03","53","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-19","0.00","52","31"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-20","0.00","58","30"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-21","0.00","65","38"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-22","0.02","62","53"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-23","0.02","62","39"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-24","0.02","59","45"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-25","0.22","56","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-26","0.27","51","46"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-27","0.02","55","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-28","0.00","56","46"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-29","0.00","57","46"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-30","0.00","54","45"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-07-31","0.13","56","37"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-01","0.06","52","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-02","0.00","57","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-03","0.19","49","46"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-04","0.06","52","39"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-05","0.11","51","43"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-06","0.18","55","45"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-07","0.12","54","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-08","0.00","54","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-09","0.00","57","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-10","0.05","60","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-11","0.00","58","46"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-12","0.00","56","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-13","0.09","54","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-14","0.00","58","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-15","0.05","58","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-16","0.00","61","39"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-17","0.13","53","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-18","0.04","51","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-19","0.00","55","43"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-20","0.00","64","41"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-21","0.00","66","51"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-22","0.00","63","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-23","0.00","59","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-24","0.00","58","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-25","0.02","57","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-26","0.02","62","46"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-27","0.07","53","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-28","0.69","57","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-29","0.01","54","40"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-30","0.06","56","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-08-31","0.00","54","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-01","0.00","56","38"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-02","0.00","66","45"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-03","0.15","58","51"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-04","0.00","56","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-05","0.01","57","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-06","0.00","63","40"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-07","0.16","56","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-08","0.30","54","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-09","0.01","58","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-10","0.01","59","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-11","0.00","67","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-12","0.00","71","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-13","0.00","79","58"
