,EASTERN REGION,,,,METROPOLITAN NORTH WEST REGION,,,,METROPOLITAN SOUTH EAST REGION,,,,NORTH EASTERN REGION,,,,NORTHERN REGION,,,,SOUTH WESTERN REGION,,,,WESTERN REGION,,,
DATE,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER
1/7/2015,0,0,0,1,0,4,0,11,2,9,0,12,0,1,0,0,0,2,0,0,0,3,0,2,0,1,0,2
2/7/2015,0,0,0,3,0,3,0,14,1,5,0,10,0,1,0,2,0,0,0,0,1,1,0,2,0,1,0,4
3/7/2015,0,0,0,2,0,7,0,9,0,9,0,7,1,2,0,0,0,1,0,1,0,0,0,3,0,2,0,1
4/7/2015,0,1,0,3,0,5,0,12,0,5,0,9,0,1,0,1,1,1,0,1,0,1,0,2,0,0,0,4
5/7/2015,0,0,0,1,0,6,0,8,0,3,0,6,1,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0
6/7/2015,0,0,0,0,0,4,0,12,1,2,0,11,0,0,0,2,0,1,0,2,0,1,0,2,0,0,0,2
7/7/2015,0,1,0,2,0,3,0,12,0,8,0,5,0,0,0,1,0,1,0,2,1,2,0,4,0,1,0,3
8/7/2015,0,1,0,2,0,4,0,13,0,6,0,10,0,1,0,3,0,1,0,2,0,1,0,0,0,4,0,0
9/7/2015,0,0,0,0,0,6,0,13,0,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
10/7/2015,0,1,0,0,0,7,0,16,0,3,0,11,0,0,0,0,0,2,0,4,0,1,0,1,0,1,0,2
11/7/2015,0,0,0,3,0,8,0,3,0,7,0,9,0,2,0,3,0,0,0,1,0,2,0,1,1,0,0,0
12/7/2015,0,0,0,2,0,4,0,5,0,5,0,4,0,0,0,1,0,1,0,1,0,2,0,2,0,0,0,2
13/7/2015,0,0,0,1,0,3,0,16,0,5,0,13,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,3
14/7/2015,0,0,0,2,0,4,0,8,0,8,0,8,0,1,0,1,0,1,0,3,0,1,0,0,0,2,0,2
15/7/2015,0,0,0,0,0,4,0,14,0,2,0,6,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0
16/7/2015,1,2,0,1,0,3,0,10,0,4,0,10,0,2,0,0,0,1,0,0,0,1,0,2,0,2,0,5
17/7/2015,0,0,0,1,0,5,0,18,0,6,0,12,0,1,0,1,0,2,0,0,0,3,0,7,0,1,0,1
18/7/2015,0,2,0,1,0,6,0,4,0,10,0,6,0,2,0,0,0,2,0,0,1,1,0,3,0,1,0,3
19/7/2015,0,1,0,4,0,6,0,12,0,6,0,4,0,0,0,1,0,2,0,1,0,2,0,2,0,2,0,3
20/7/2015,0,0,0,1,0,7,0,12,1,5,0,12,0,0,0,1,1,2,0,2,0,1,0,2,0,2,0,4
21/7/2015,0,1,0,0,0,5,0,18,0,7,0,11,0,2,0,1,0,1,0,2,0,4,0,2,0,1,0,2
22/7/2015,0,1,0,1,0,3,0,11,0,6,0,11,0,0,0,1,0,0,0,2,0,1,0,1,0,2,0,0
23/7/2015,0,1,0,5,0,4,0,11,0,12,0,13,0,2,0,0,0,1,0,1,0,4,0,1,0,1,0,0
24/7/2015,0,0,0,3,0,8,0,15,0,7,0,16,0,1,0,0,0,1,0,1,1,3,0,2,0,1,0,0
25/7/2015,0,0,0,3,1,3,0,9,0,3,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,2
26/7/2015,0,1,0,2,1,4,0,6,0,7,0,5,0,4,0,0,0,1,0,1,0,2,0,1,0,0,0,0
27/7/2015,0,0,0,2,0,8,0,7,0,7,0,7,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,3
28/7/2015,0,2,0,4,0,2,0,16,0,4,0,13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
29/7/2015,0,0,0,0,0,5,0,10,0,10,0,10,0,1,0,0,1,1,0,1,0,1,0,6,0,1,0,2
30/7/2015,0,1,0,3,1,3,0,10,1,7,0,9,0,3,0,0,0,0,0,1,0,2,0,2,1,0,0,3
31/7/2015,0,2,0,2,1,5,NA,11,0,12,0,23,0,1,0,1,0,2,0,1,0,1,0,0,0,1,0,5
1/8/2015,0,1,0,0,1,7,0,7,0,7,0,8,0,0,0,2,0,0,0,3,0,0,0,2,0,2,0,0
2/8/2015,0,1,0,2,0,4,0,7,0,4,0,11,0,1,0,1,0,2,0,3,0,0,0,1,0,2,0,2
3/8/2015,0,1,0,1,0,3,0,7,0,6,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
4/8/2015,0,0,0,0,0,1,0,14,0,6,0,5,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0
5/8/2015,0,0,0,1,2,4,0,6,0,6,0,10,0,0,0,0,0,1,0,0,0,4,0,2,0,1,0,1
6/8/2015,0,1,0,1,0,6,0,13,0,6,0,9,0,2,0,0,0,0,0,4,0,1,0,3,0,2,0,3
7/8/2015,0,0,0,0,1,6,0,18,0,5,0,7,0,0,0,3,1,1,0,2,0,1,0,2,0,1,0,2
8/8/2015,0,0,0,1,1,4,0,14,0,6,0,3,0,1,0,1,0,0,0,2,0,1,0,0,0,2,0,2
9/8/2015,0,2,0,3,0,3,0,6,0,4,0,7,0,1,0,2,0,0,0,0,0,0,0,1,1,1,0,1
10/8/2015,0,1,0,2,0,1,0,12,0,4,0,11,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0,2
11/8/2015,0,1,0,4,0,2,0,10,0,7,0,8,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0
12/8/2015,0,0,0,1,0,4,0,10,2,3,0,7,0,1,0,3,0,0,0,6,0,3,0,2,0,0,0,1
13/8/2015,1,0,0,2,0,2,0,13,0,8,0,7,0,0,0,1,0,0,0,1,1,2,0,2,0,1,0,1
14/8/2015,0,1,0,0,1,5,0,12,0,5,0,9,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1
15/8/2015,1,1,0,1,0,5,0,10,0,4,0,7,1,1,0,0,0,1,0,2,0,2,0,1,0,1,0,2
16/8/2015,0,1,0,5,0,3,0,12,1,8,0,3,0,0,0,0,0,2,0,2,0,1,0,4,0,1,0,1
17/8/2015,1,0,0,2,0,6,0,12,0,4,0,14,0,1,0,1,0,1,0,2,0,0,0,2,0,0,0,4
18/8/2015,1,1,0,2,0,5,0,6,1,5,0,8,1,0,0,0,0,0,0,1,0,3,0,4,0,0,0,5
19/8/2015,0,1,0,2,0,2,0,6,0,5,0,14,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,2
20/8/2015,0,0,0,1,0,1,0,15,0,8,0,9,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,3
21/8/2015,0,1,0,1,0,6,0,7,0,6,0,11,0,1,0,0,0,2,0,1,0,1,0,4,0,0,0,1
22/8/2015,0,0,0,0,0,4,0,10,0,8,0,12,0,6,0,3,0,2,0,1,0,2,0,0,0,1,0,1
23/8/2015,0,0,0,3,1,3,0,8,0,7,0,9,0,0,0,2,0,0,0,0,2,2,0,1,0,1,0,2
24/8/2015,0,0,0,1,0,3,0,13,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
25/8/2015,0,0,0,0,0,3,0,13,0,6,0,4,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,1
